,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_pct_ch,sell_spread_pct_ch,port_rets,cum rets
2019-03-20 15:10:00,56.854,56.69310317000001,56.83401,56.675282785,0.9970000000000001,0.029595199999999267,-0.008155214999997894,113.35661114,113.35872078499999,-1.5268218765698798,-0.7791039813201178,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.02959520000000282,-0.008155215000002158,5.751280167281286e-05,7.417674612152796e-06,0.0,1.0004308022712056
2019-03-20 15:20:00,56.9145,56.76577477000001,56.89608,56.743980969999996,0.9970000000000001,0.04038301000000004,0.00022447000000269668,113.49116653000002,113.48773747,-1.889226262148766,-0.5395662553337859,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.040383010000006436,0.00022446999999203854,9.839408354787608e-05,7.642991728571754e-05,0.0,1.0004308022712056
2019-03-20 15:30:00,56.965999999999994,56.82893548500001,56.93951,56.793290105000004,0.9970000000000001,0.06024401500000067,-0.0018118949999994527,113.59762695499998,113.58839210499998,-2.531759800661082,-0.597230397665522,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.060244015000002094,-0.0018118949999959,0.00018114940709130974,-1.8573396077861654e-05,0.0,1.0004308022712056
2019-03-20 15:40:00,56.988,56.848774694999996,56.972000000000016,56.82766610000001,0.9970000000000001,0.04769069499999858,0.010630100000000198,113.649858695,113.64470209999999,-2.159804180047356,-0.2428964138667421,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.04769069499997158,0.010630100000000198,-0.00011449704962228771,0.00011348167010092521,0.0,1.0004308022712056
2019-03-20 15:50:00,56.925,56.78403651,56.903989999999986,56.76028493000001,0.9970000000000001,0.05075848000000249,0.0060599300000014015,113.51731454,113.51450992999999,-2.254338731734153,-0.37289995659632313,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.050758480000006045,0.006059930000006375,2.7980831475546072e-05,-4.168387177816797e-05,0.0,1.0004308022712056
2019-03-20 16:00:00,56.87426666666667,56.73427669166667,56.856666666666676,56.71009562500001,0.997,0.04818002500000181,0.006451758333337665,113.42037335833334,113.41373949166666,-2.168183897443883,-0.3612345782486892,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.048180024999986415,0.006451758333334112,-2.3517722011815676e-05,3.573810603436795e-06,0.0,1.0004308022712056
2019-03-21 13:40:00,57.46132,57.29177012,57.426,57.258928960000006,0.9970000000000001,0.03804811999999771,-0.03000707999999861,114.54549212000002,114.547865,-1.8587082676382936,-1.4498755150742624,False,False,0.0,False,True,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.038048119999992025,-0.030007080000004294,-9.241166715656442e-05,-0.0003325358886583842,0.0,1.0004308022712056
2019-03-21 13:50:00,57.51098999999999,57.343671125,57.490099999999984,57.32065779,0.9970000000000001,0.026041424999999663,-0.017799240000002926,114.66130082499998,114.65911481999999,-1.4822786161852795,-1.1469497327210971,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.02604142500000961,-0.017799240000002214,-0.00010951136059698303,0.0001113459755871586,0.0,1.0004308022712056
2019-03-21 14:00:00,57.53200999999999,57.359203435,57.5115,57.342744534999994,0.9970000000000001,0.020237935000000817,-0.01666943500000002,114.69816893500001,114.70215850500001,-1.3011023422397017,-1.1577460817209708,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.02023793499999016,-0.016669435000004285,-5.293280841347649e-05,1.0304791015281801e-05,0.0,1.0004308022712056
2019-03-21 14:10:00,57.50706,57.33006824499999,57.489,57.312953074999996,0.9970000000000001,0.013535244999999918,-0.021585745000000857,114.64660124500001,114.64749189499999,-1.070596990165236,-1.3216805966502916,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.013535244999985707,-0.021585745000010093,-6.113428396085308e-05,-4.4840965579451984e-05,0.0,1.0004308022712056
