,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_memory_pos_switch,sell_spread_memory_pos_switch,buy_spread_pct_ch,sell_spread_pct_ch,long_holding_ret,short_holding_ret,spread_cost_ret,transaction_cost_ret,port_rets,cum rets
2019-08-06 14:15:00,10.186261165000001,60.254999999999995,10.17508312,60.22,4.562,13.836270806559995,13.750276565269992,106.67372919344,106.68972343473001,-1.7739945836435864,1.387003587183388,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.528176458719997,14.442942324489998,14.528176458719997,14.442942324489998,0.00012345340204876484,0.0003193819978394116,0.0,-0.00012345340204876484,0.0,0.0,0.9998765465979512,1.034510449460595
2019-08-06 14:20:00,10.18038042,60.221666666666664,10.170696153333333,60.18166666666667,4.562,13.822950815159999,13.738771190626665,106.62038251817333,106.62456214270668,-1.7311259776292938,1.3488592555965437,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.51455815358667,14.431037059186671,14.51455815358667,14.431037059186671,-0.00011870229489746158,-0.00010377079225589846,0.0,0.00011870229489746158,0.0,0.0,1.0001187022948974,1.0346332482250413
2019-08-06 14:25:00,10.175141275,60.207499999999996,10.16619981,60.168749999999996,4.5625,13.824213366874993,13.744667932812497,106.59078663312499,106.59283206718749,-1.722407723415163,1.3513412730229102,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.520598053859999,14.441665110149998,14.520598053859999,14.441665110149998,5.264605370321778e-05,9.263810931557323e-05,0.0,-5.264605370321778e-05,0.0,0.0,0.9999473539462967,1.034578778867492
2019-08-06 14:30:00,10.182356172,60.224000000000004,10.171178704,60.188,4.5636,13.806808866425598,13.719799373460802,106.64119113357441,106.6562006265392,-1.6701506506050283,1.283226103450427,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.514722904224001,14.428491363032002,14.514722904224001,14.428491363032002,-5.121002487689708e-05,-0.00011482735920478273,0.0,5.121002487689708e-05,0.0,0.0,1.0000512100248768,1.034631759672495
2019-08-06 14:35:00,10.168588916000001,60.17,10.164566804,60.124,4.5604000000000005,13.815509547038396,13.751167107473591,106.5244904529616,106.49683289252641,-1.6788035349128554,1.3453701325845495,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.490436782824005,14.426361411496003,14.490436782824005,14.426361411496003,-0.00021168701362718305,-1.85654626525184e-05,0.0,0.00021168701362718305,0.0,0.0,1.0002116870136273,1.034850777779904
2019-08-06 14:40:00,10.166247,60.14,10.155075300000002,60.11,4.561,13.82270155669999,13.741747433,106.4572984433,106.478252567,-1.6842760108689374,1.3123609300365668,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.503091601799994,14.422885982000004,14.503091601799994,14.422885982000004,0.00011030418537807855,-3.029315710659734e-05,0.0,-0.00011030418537807855,0.0,0.0,0.999889695814622,1.0347366294078733
2019-08-06 14:45:00,10.172622239999999,60.259,10.168153508,60.208000000000006,4.5644,13.847480128084804,13.77608304774401,106.67051987191519,106.639916952256,-1.72953648284422,1.3807989752998218,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.563318135048007,14.492235653440012,14.563318135048007,14.492235653440012,0.0005249572278096364,0.0006044779485934801,0.0,-0.0005249572278096364,0.0,0.0,0.9994750427721903,1.0341934369353862
2019-08-06 14:50:00,10.179726006666668,60.286699999999996,10.176001306666665,60.24,4.5646666666666675,13.83664603550222,13.772944021568875,106.73675396449778,106.70705597843113,-1.6934323558086097,1.3619436327902776,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.555750127840007,14.492311326040003,14.555750127840007,14.492311326040003,-6.596561132939413e-05,6.595909837387856e-07,0.0,6.596561132939413e-05,0.0,0.0,1.0000659656113293,1.0342616581376864
2019-08-06 14:55:00,10.170250999999999,60.23,10.170250999999999,60.21,4.566,13.792633934000008,13.772633934000012,106.66736606599999,106.64736606599999,-1.5826177274849256,1.3510215858029202,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.524892006000009,14.504892006000013,14.524892006000009,14.504892006000013,-0.00026897105350276424,0.00010965796169224022,0.0,0.00026897105350276424,0.0,0.0,1.0002689710535027,1.0345398445854732
2019-08-07 13:40:00,10.379021966666667,61.36666666666667,10.364837920000001,61.23,4.573,13.968262858506655,13.766732546433325,108.76507047482667,108.69326745356668,-1.971958763379252,1.3252396518371243,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.787085054186662,14.586675281799998,14.787085054186662,14.586675281799998,0.002285373709959717,0.0007128539437651865,0.0,-0.002285373709959717,0.0,0.0,0.9977146262900403,1.0321755344227517
